Num,Ticker,Name,FY Report Month,Data FX,"Begin 
Year",Sector,BICS Name,BICS 1,BICS 2,BICS 3,BICS 4
1,BHP AU Equity,BHP GROUP LTD,2019-06-30 00:00:00,AUD,2000,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
2,RIO AU Equity,RIO TINTO LTD,2019-12-31 00:00:00,AUD,2000,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,2019-06-30 00:00:00,AUD,2000,Banking,Banks,Financials,Banking,Banks,#N/A
4,CSL AU Equity,CSL LTD,2019-06-30 00:00:00,AUD,2000,Biotechnology,Mature Biotechnology,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
5,WBC AU Equity,WESTPAC BANKING CORP,2019-09-30 00:00:00,AUD,2000,Banking,Banks,Financials,Banking,Banks,#N/A
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,2019-09-30 00:00:00,AUD,2000,Banking,Banks,Financials,Banking,Banks,#N/A
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,2019-09-30 00:00:00,AUD,2000,Banking,Banks,Financials,Banking,Banks,#N/A
8,MQG AU Equity,MACQUARIE GROUP LTD,2019-03-31 00:00:00,AUD,2000,Asset Management,Diversified Banks,Financials,Banking,Diversified Banks,#N/A
9,WES AU Equity,WESFARMERS LTD,2019-06-30 00:00:00,AUD,2000,Supermarkets,Home Centers,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Home Improvement Stores
10,WOW AU Equity,WOOLWORTHS GROUP LTD,2019-06-30 00:00:00,AUD,2000,Supermarkets,Supermarkets,Consumer Staples,Retail - Consumer Staples,Food & Drug Stores,Supermarkets
11,TLS AU Equity,TELSTRA CORP LTD,2019-06-30 00:00:00,AUD,2000,Telecommunications,Wireless Telecom Services,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,2019-06-30 00:00:00,AUD,2001,Iron Ore Mining,Iron Ore Mining,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,2019-12-31 00:00:00,AUD,2000,Energy,Crude Oil & Natural Gas E&P,Energy,"Oil, Gas & Coal",Exploration & Production,Crude Oil & Natural Gas E&P
14,NCM AU Equity,NEWCREST MINING LTD,2019-06-30 00:00:00,AUD,2000,Precious Metals,Gold Mining,Materials,Metals & Mining,Precious Metal Mining,Gold Mining
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,2019-09-30 00:00:00,AUD,2000,Casinos & Gaming,Casinos & Gaming,Consumer Discretionary,"Gaming, Lodging & Restaurants",Casinos & Gaming,#N/A
