Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,682.6167,1182.5848,2660.6319,2313.6553,2616.957,1603.885,1045.3994,2880.8375,4427.8399,13415.4799,14711.2318,9415.4995,4671.2262,6224.0982,9341.0441,8761.0275,13856.5865,18433.1857,21464.7011,22269.2911,19486.2119,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,1314.0269,916.7483,362.8239,525.157,369.1408,3242.9117,933.6547,1876.3545,1675.8904,4714.8585,9723.3897,9429.5466,6871.8097,11443.9341,15214.9418,12847.7366,11363.4474,13504.8643,15296.0386,11427.9613,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,1170,1370,2465,1764,1762,2271,1834,4622,2577,3868,5418,5620,8907,8251,12646,15792,12246,14836,17002,16655,27307,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,416.627,117.565,106.215,83.466,114.896,723.842,753.694,480.237,701.59,2528.097,1001.059,479.403,1155.1,835.654,645.9041,722.3664,747.4151,1099.8958,1101.8393,938.2399,1733.5269,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,1456,1561,2124,2211,2516,3255,2478,2996,4809,3272,4464,16258,12523,11699,25760,14770,17015,18397,26431,20059,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,7003,7552,5627,4722,3176,4551,7053,6766,4092,11249,13787,22159,21295,6409,6849,7642,2411,3060,2119,2256,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,1561,2240,3667,986,1290,1521,2450,3667,25030,13241,7266,17079,38056,17295,24273,43623,29771,48584,85518,82500,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,325.95,295,283,311,647,4,5,3,7,9037,6618,8417,10062,8523,8695,10732,9196,9464,9722,8643,9717,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,57.999,110.753,171.937,170.247,103.374,83.846,90.046,218.549,725,2124,1640,897,1127,1333,2067,711,611,1013,683,795,2913,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,350,256,295,287.3,348.9,433.8,525.9,798.8,754.6,762.6,713.4,1519.6,833.4,849.2,922.6,1333.4,948.1,909,1273,1066,2068,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,751,1077,1070,1300,687,1548,689,823,899,1381,1936,2630,3945,2479,5527,1396,3550,938,620,604,499,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,0.686,2.3928,1.7093,5.33,81.1584,18.0542,1978.8272,139.1807,811.0737,1459.2394,2486.4613,2289.2037,2365.9686,2544.5671,3088.9984,2125.6882,2393.8526,1167.1626,2672.9425,7046.4441,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,275.035,160.556,277.6622,177.601,797.14,232.904,313.7,157.4085,200.0851,1344.3974,941.257,39.9805,2332.6592,2490.1983,4002.4495,167.3525,394.9009,407.0661,2376.8281,5777.3349,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,92.298,47.956,14.365,150.6634,157.013,84.788,153,34.3,77.5,453.7461,759.4189,172.7358,242,69,141,256.876,71.1696,640.7919,1288.8829,2282.1281,2105.9507,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,31.388,15.024,70.291,103.993,285.973,359.532,123.496,80.618,106.243,59.045,19.84,29.354,22.612,29.689,285.929,329.005,283.2,547.1,428.1,568.6,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174.323,153.3937,109.5203,111.5789,160.0331,129.3184,170.2003,141.3222,235.8871,215.6201,209.6146,207.9969,243.7111,2412.352,1070.1016,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,223,253,626,424,456,718,1163,1234,344,416,509,969,394,447,306,263,424,448,538,405,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,327.6481,208.2272,84.8,111.1,161.0678,229.2,158.7,228.6985,2203.6328,2240,4319,3332,2147,644,775,1150.8916,2807.2606,1575.7808,1868.5219,1519.0774,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,370,459,745,717,1121,1030,999,988,2736,1783.2479,1647.9328,1420.7704,1950.3034,1386.8041,1043.4783,908.0933,1173.6178,732.2069,1225.3301,778.7585,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1093,1003,2356,883,1271,866,1394,895,1216,1798,1840,1165,1086,1046,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,61.713,43.861,68.407,87.669,110.048,129.088,575.433,118.677,414.412,1433.424,1242.62,1951.6,2528.6,3218.6,2607.8,1989.4,3276.4,5612.3,377.2,333.1,858.1,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,18.641,15.91,17.255,16.431,44.318,87.793,309.229,267.574,96,3895,823,728,357,308,228,151,146,117,150,1546,1240,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,12.03,10.298,5.287,16.88,22.488,50.588,41.795,14.841,93.268,89.295,185.689,226.545,173.418,272.251,167.885,315.861,328.989,419.519,770.566,745.45,1503.7,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,11.022,21.676,22.939,26.489,17.343,31.914,68.156,35.96,63.865,557.932,300.354,174.687,168.594,219.729,232.137,249.393,290.436,437.617,313.268,736.646,1230.149,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,1.9689999999999999,1.186,1.093,2.191,2.5808999999999997,7.7423,13.1919,9.8236,8.882,41.588,88.163,137.543,181.599,257.344,253.788,78.894,126.834,358.5,115.841,137.897,222.845,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,153.8625,835.4956,1644.9577,3483.9802,4016.7704,2008.2727,1908.5631,#N/A,,,,,,,
