Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,-1588.7092,-1426.4360999999999,-2110.3987999999999,-1866.8572999999999,-2590.8335000000002,-2892.3461000000002,-3504.8236000000002,-6205.5594000000001,-5246.1868999999997,-5124.3339999999998,-5700.0005000000001,-6009.2761,-6958.9612999999999,-7809.3252000000002,-5673.1012000000001,-3874.8004000000001,-6736.8104999999996,-15938.541499999999,-10256.722599999999,-10588.921899999999,-24614.711200000002,-19726.864699999998,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,-1163.423,-1280.3788,-671.95540000000005,-1497.3927000000001,-3416.3780000000002,-1801.0598,-2314.5637000000002,-1120.3893,-1910.7372,-2166.9605000000001,-2934.6462999999999,-3443.4965000000002,-4118.2047000000002,-5429.4489000000003,-3665.6531,-5546.2948999999999,-7173.8415999999997,-14868.3472,-8906.2680999999993,-20459.016199999998,-16917.104500000001,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,-1661,-1933,-1774,-2083,-2163,-2284,-2351,-2620,-2149,-4188,-3748,-4860,-5491,-6200,-5827,-6084,-5366,-6853,-7629,-4132,-6535,-7117,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,-45.947000000000003,-54.091000000000001,-35.363999999999997,-63.508000000000003,-124.39400000000001,-162.53399999999999,-227.43100000000001,-319.49200000000002,-487.89879999999999,-441.9479,-409.38749999999999,-486.62759999999997,-568.20079999999996,-643.4461,-795.33309999999994,-797.64380000000006,-867.52570000000003,-1128.4963,-1317.2936999999999,-1283.9118000000001,-1432.6751999999999,-1842.1454000000001,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,-1948,-2255,-1976,-2416,-2555,-2922,-1702,-1742,-2500,-2341,-2744,-3480,-3973,-3624,-4593,-4750,-4221,-3266,-2323,-2682,-4006,#N/A,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,-1178,-1322,-1561,-1808,-1930,-1958,-46,-697,-1671,-2113,-2219,-3226,-3827,-3763,-4564,-4386,-4563,-4471,-2861,-2834,-3784,#N/A,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,-977,-1038,-1362,-1241,-1628,-1630,-1872,-2681,-2733,-3746,-4050,-5028,-5837,-4340,-5402,-4839,-5769,-4977,-2518,-2846,-4337,#N/A,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,0,0,0,0,0,0,0,0,0,-97.335999999999999,-243.44059999999999,-127.64960000000001,-633.029,-412.21890000000002,-156.5941,-1001.5318,-1127.9640999999999,-3105.1831999999999,-2871.4647,-7617.6980000000003,-9237.2387999999992,-5831.2303000000002,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,-822.25099999999998,-636.54489999999998,-471.26319999999998,-586.18399999999997,-947.10550000000001,-403.95370000000003,-756.75340000000006,-376.02109999999999,-595.87980000000005,-631.86860000000001,-837.50440000000003,-1811.9301,-1945.8795,-2304.4521,-753.30849999999998,-1077.9386999999999,-1217.5172,-1527.9838,-659.4008,-385.01369999999997,-3690.1127999999999,#N/A,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,-213,-141,-208,-263,-520,-472,-668,-829,-328,-598,-552,-540,-787,-783,-1228,-1477,-1663,-1835,-2122,-861,-1711,-2010,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,-164.61799999999999,-333.35399999999998,-479.64600000000002,-528.18899999999996,-707.66899999999998,-764.86400000000003,-754,-1066,-1325,-1557,-1789,-1985,-2160,-2597,-2270,-1998,-2528,-3628,-1734,-2074,-1927,-2132,,,,,,,
12,TEAM US Equity,ATLASSIAN CORP-CL A,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.1446999999999998,-10.8955,0,0,0,0,0,0,0,0,0,,,,,,,
13,TLS AU Equity,TELSTRA GROUP LTD,AUD,-2831,-3345,-3186,-4124,-4970,-3479,-3476,-3474,-3474,-3475,-3475,-3480,-3545,-3699,-3787,-3736,-3150,-2259,-1903,-1902,-1888,-1964,,,,,,,
14,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,-251.5,-307.3,-346.9,-201.9,0,-355.2,-862.5,-1012.4,-1164.5999999999999,-1260,-1317.2,-1396.7,-1491.1,-1538.6,-1184.8,-541,-724,-1267,-1133,-1104,-1007,-1026,,,,,,,
15,GMG AU Equity,GOODMAN GROUP,AUD,#N/A,#N/A,#N/A,-91.1,-90.3,-229.6,-445.6,-431,-142.30000000000001,-284.10000000000002,-328,-327.39999999999998,-329,-304.3,-329.8,-461.1,-488.4,-528.70000000000005,-546.29999999999995,-551.4,-557.20000000000005,-562.1,,,,,,,
