Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,34582.889600000002,29487.179499999998,30149.704900000001,36440.477800000001,41741.883300000001,49712.974900000001,49463.893799999998,60720.743000000002,65638.360700000005,63440.709600000002,93060.087899999999,110256.5508,115436.1205,122044.629,112763.5289,104841.1045,90860.156900000002,97048.9231,105024.6734,98456.716,88679.108800000002,107689.30869999999,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,13647.8999,20203.207900000001,11148.226199999999,24018.538700000001,28170.747200000002,47870.423199999997,59249.326000000001,51178.436199999996,55059.133999999998,66137.493900000001,76122.507899999997,81417.049400000004,87310.4715,83754.458199999994,81550.505799999999,79484.126999999993,80024.137400000007,81679.954400000002,81728.619699999996,89222.206999999995,94931.808199999999,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,862,821,1204,1132,1314,1436,1640,2472,2351,2366,2503,2718,2816,2833,3940,3873,2576,2383,5602,5284,4887,4950,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,562.63800000000003,537.55600000000004,887.01700000000005,769.14300000000003,816.33600000000001,858.89400000000001,975.93600000000004,1197.502,1426.5253,1127.2529999999999,1330.4348,1740.1601000000001,1942.9117000000001,2388.8168000000001,3208.8089,3832.6387,4803.0835999999999,6396.0919000000004,9151.6690999999992,10052.0208,12021.1227,14023.091899999999,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,2640,2498,2257,3829,1877,1958,1661,1716,1778,1919,1901,1993,1952,1741,1423,1315,1199,1117,2374,2814,3009,#N/A,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,1464,1485,1532,1054,1109,1493,1592,2062,2158,2125,2114,2164,2181,2221,2205,1965,1833,1924,3013,2734,2431,#N/A,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,815,842,1445,379,466,489,505,888,1010,1158,1137,1174,1452,1592,1737,1487,1329,1155,3910,2853,2429,#N/A,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,1.258,2.3334000000000001,0.4536,84.670299999999997,251.63409999999999,991.92920000000004,1350.9060999999999,2048.0594000000001,4078.6713,4755.3688000000002,11096.2384,18812.6302,19172.326000000001,23000.778399999999,22649.388999999999,21480.8544,21894.779600000002,22922.550299999999,24779.3904,25859.677199999998,29875.578699999998,31449.9925,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,6259.3458000000001,4151.9063999999998,5122.22,8176.3073000000004,9362.9328999999998,9793.5439999999999,19456.506300000001,16815.5491,17974.782500000001,21049.244299999998,19796.783200000002,21992.830699999999,23124.311099999999,29958.847699999998,31416.100900000001,29530.209900000002,33001.561800000003,33075.1708,24038.211599999999,27955.201300000001,61577.944000000003,#N/A,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,135,125,1945,148,292,378,375,605,605,5007,5235,5643,6311,7079,11521,11009,11426,4701,5044,4676,5143,6639,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,1585.672,1464.2460000000001,1600.0519999999999,1988.229,2396.2359999999999,2715.8939999999998,6561,7126,7542,8302,9463,10164,9952,10205,9612,9440,8408,3878,9835,10396,10764,11041,,,,,,,
12,TEAM US Equity,ATLASSIAN CORP-CL A,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.0183,54.421399999999998,78.906899999999993,53.624600000000001,69.862099999999998,116.1874,457.66469999999998,362.17290000000003,546.78530000000001,398.2561,,,,,,,
13,TLS AU Equity,TELSTRA GROUP LTD,AUD,23421,23012,22863,22891,23592,24607,24311,23895,22894,21790,20504,20326,19842,20450,20581,21350,22108,22332,24529,23715,23411,23794,,,,,,,
14,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,2267.3000000000002,2348.5,2467.6,3359.3,4055.8,4623,5638.8,6653.9,7639.1,8620.2999999999993,9589,9246.1,9600.7000000000007,10062.1,8262.7999999999993,8438,9026,8252,20804,17030,18226,18348,,,,,,,
15,GMG AU Equity,GOODMAN GROUP,AUD,#N/A,#N/A,#N/A,4758.3999999999996,4190,6452.1,6663.3,3579.5,3223.6,3409.6,2674.5,2405.9,2532.9,2906,2720.7,2010.2,1774.6,1897.1,1901.2,2082.3000000000002,1423.7,1644.8,,,,,,,
16,TCL AU Equity,TRANSURBAN GROUP,AUD,3856.09,3728.2510000000002,3604.2809999999999,5946.8140000000003,5760.9219999999996,5539.1530000000002,96.224999999999994,116.456,146.053,177.548,191.964,180,226,249,268,327,374,414,594,567,557,532,,,,,,,
17,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,135.01,109.496,117.462,116.455,117.846,103.004,150.77600000000001,120.459,100.14100000000001,109.267,102.577,106.913,121.43600000000001,203.45599999999999,217.5,241.3,389.3,431.2,531.5,484.6,549.9,#N/A,,,,,,,
