Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41274,41639,42004,42369,42735,43100,43465,43830,44196,44561,44926,#NA,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,37529,37894,38260,38625,38990,39355,39721,40086,40451,40816,41182,41547,41912,42277,42643,43008,43373,43738,44104,44469,44834,#NA,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,37529,37894,38260,38625,38990,39355,39721,40086,40451,40816,41182,41547,41912,42277,42643,43008,43373,43738,44104,44469,44834,#NA,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,37529,37894,38260,38625,38990,39355,39721,40086,40451,40816,41182,41547,41912,42277,42643,43008,43373,43738,44104,44469,44834,#NA,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41274,41639,42004,42369,42735,43100,43465,43830,44196,44561,44926,#NA,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,37346,37711,38077,38442,38807,39172,39538,39903,40268,40633,40999,41364,41729,42094,42460,42825,43190,43555,43921,44286,44651,45016,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
12,TEAM US Equity,ATLASSIAN CORP-CL A,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
13,TLS AU Equity,TELSTRA GROUP LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
14,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,37437,37801,38165,38529,38893,39263,39629,39992,40356,40720,41084,41455,41819,42183,42547,42911,43275,43646,44010,44374,44738,45102,,,,,,,
15,GMG AU Equity,GOODMAN GROUP,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
16,TCL AU Equity,TRANSURBAN GROUP,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
17,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41182,41547,41912,42277,42643,43008,43373,43738,44104,44469,44834,#NA,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41274,41639,42004,42369,42735,43100,43465,43830,44196,44561,44926,#NA,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41274,41639,42004,42369,42735,43100,43465,43830,44196,44561,44926,#NA,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,37621,37986,38352,38717,39082,39447,39813,40178,40543,40908,41274,41639,42004,42369,42735,43100,43465,43830,44196,44561,44926,#NA,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,37465,37829,38193,38558,38928,39292,39813,40178,40543,40908,41274,41639,42004,42369,42551,42916,43281,43646,44012,44374,44738,45102,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,37437,37802,38168,38533,38898,39263,39629,39994,40359,40724,41090,41455,41820,42185,42551,42916,43281,43646,44012,44377,44742,45107,,,,,,,
