Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
12,TEAM US Equity,ATLASSIAN CORP-CL A,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
13,TLS AU Equity,TELSTRA GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
14,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
15,GMG AU Equity,GOODMAN GROUP,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
16,TCL AU Equity,TRANSURBAN GROUP,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
17,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
25,BXB AU Equity,BRAMBLES LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
26,SUN AU Equity,SUNCORP GROUP LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
27,COH AU Equity,COCHLEAR LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
28,ORG AU Equity,ORIGIN ENERGY LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
29,S32 AU Equity,SOUTH32 LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
30,CPU AU Equity,COMPUTERSHARE LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
31,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,FY1 2002,FY1 2003,FY1 2004,FY1 2005,FY1 2006,FY1 2007,FY1 2008,FY1 2009,FY1 2010,FY1 2011,FY1 2012,FY1 2013,FY1 2014,FY1 2015,FY1 2016,FY1 2017,FY1 2018,FY1 2019,FY1 2020,FY1 2021,FY1 2022,FY1 2023,,,,,,,
