Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,130.5003,1.9612,910.5431,694.6929,607.4565,750.7547,770.5779,652.8644,461.9082,492.8793,436.9907,860.8777,4010.7474,4500.603,4280.5603,4247.535,4395.0584,4257.6192,334.0546,352.3035,358.4906,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,1796.7307,1379.0402,1131.3673,1573.3372,1373.1654,1390.4035,1066.8527,24073.2292,20286.6468,15892.1809,14970.1886,7983.4227,2671.6749,1511.146,1503.9804,1223.594,1317.722,1327.445,1294.9027,1312.6424,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,5905,5716,5391,5029,4705,7214,7200,7163,7484,7473,7473,7399,7705,7723,7566,7599,7925,7872,6941,5974,5284,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,0,672.33,929.153,819.773,785.38,692.591,735.431,655.665,672.519,758.298,722.04,712.67,672.7,753.7551,775.7852,915.0234,905.4653,896.4574,1490.3976,1571.5305,1675.1814,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,#N/A,#N/A,1754,2558,2394,2957,2403,2989,2425,8597,8569,8582,8797,8868,9112,8809,8829,9012,8890,8895,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,2617,876,775,740,632,4767,4434,4434,5227,5182,5546,5567,5266,5347,5394,4631,2913,2862,2863,2864,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,145,137,180,160,3269,3015,2900,3126,3064,2999,4086,4163,4212,4499,4511,4597,4729,4447,4447,0,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,0,0,0,0,0,34,83,39,752,495,767,665,693,613,653,580,525,442,469,1032,1717,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,93.888,254.151,1559.691,1478.298,1431.124,1466.266,1470.212,2567.891,16269,16273,16206,16227,16097,16151,14510,14708,14448,14360,13491,3090,2966,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,#N/A,#N/A,435.5,416,401.6,836,2971.2,3156.2,2941.4,2991.6,3078.2,3227.7,3221.8,3400.9,3882.4,3826.2,4343.6,4216,4155,4217,4196,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,#N/A,#N/A,#N/A,2018,2104,2037,2073,2126,2017,2346,1802,1415,1289,1382,395,1652,1346,1269,1049,1076,1085,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,3380.9524,3759,436,0,0,0,0,0,0,0,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,4.932,252.366,252.617,70.64,67.665,71.662,102.501,92.023,116.843,90.4,79.793,79.774,77.422,106.122,94.026,1088.974,996.2,973.4,2731.5,2923.1,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,757.241,712.9749,706.5524,758.2663,716.9009,1581.9795,1570.4934,1904.0675,1403.2258,1985.5994,1951.927,1181.9484,1233.0268,314.9337,279.3904,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,280,572,1583,1455,1463,1486,2256,1875,1880,1782,1644,1625,1666,2899,2890,2982,2974,2875,2863,2862,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,63.9138,51.9099,17.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682.9476,684.795,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,90,85,84,162,894,1201,1273,2056,4648,4740.4767,4469.7488,4549.9756,4636.4249,4369.8891,4173.913,4375.8573,4284.3287,3209.1654,3312.5089,3317.1982,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5088,5135,5131,5147,5006,5036,5043,4906,4921,4936,4881,4875,4731,4724,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,0,2.534,2.4050000000000002,2.276,5.034,4.756,5.034,2262.759,2262.759,2262.759,2262.759,2262.8,2262.8,2317.6,2317.6,2317.6,2317.6,2317.6,2317.6,2317.6,2317.6,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,96.757,91.485,91.485,232.201,242.198,1258.011,1207.158,2468.622,2410,2584,2599,5398,5341,5372,5321,4815,4827,4827,4820,4818,4818,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,3.268,10.552,7.111,6.744,7.996,603.446,549.436,550.995,809.659,805.068,871.549,842.552,838.151,917.709,1099.279,1779.621,1933.268,1937.444,2152.072,3676.809,3783.4,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,331.215,710.724,986.445,929.412,982.848,1089.807,1504.169,1948.92,2486.073,2990.252,3238.802,3166.287,3288.558,3612.715,3751.605,4063.775,4759.896,4940.445,5239.999,6320.73,6486.334,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,0,0,0,0,7.1559,7.1858,54.3084,78.4504,93.238,47.269,42.957,41.57,40.506,43.038,56.867,59.283,787.68,583.863,718.634,545.706,414.747,#N/A,,,,,,,
