Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021
1,BHP AU Equity,BHP GROUP LTD,AUD,35184.4766,38487.229,38366.405,53704.8125,78032.261,109891.9415,172397.4517,198277.7135,234917.1387,177978.3593,209499.2682,233128.628,167399.6628,166967.6974,191029.3805,143938.0756,99263.5253,123933.8843,180520.6843,208135.2479,181174.7094,#N/A
2,RIO AU Equity,RIO TINTO LTD,AUD,40459.0868,51180.9241,53107.9882,51272.3736,53982.4786,93437.73,90300.7593,158192.0943,48131.3052,138383.069,167697.7013,113008.3506,106347.1601,126027.6495,107294.606,80865.9487,107760.8188,133005.4565,129430.3774,162761.8536,#N/A,#N/A
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,34894.9928,42483.1461,41258.6892,37043.3202,41181.3175,48073.7091,56481.5107,71436.6827,52949.7988,58952.7319,75007.2716,81183.9142,84178.3879,111092.8988,130686.1595,138160.7491,127251.6618,142931.1695,128004.726,146250.4033,122744.5611,#N/A
4,CSL AU Equity,CSL LTD,AUD,4924.7259,7139.1636,5099.5641,1911.271,4380.7988,6348.5448,9776.5335,16107.6979,19649.3016,19265.5439,17908.9968,17351.228,19983.1746,30011.1484,31597.1593,40194.097,51222.3656,62562.3209,87141.4219,97424.8059,130311.9789,#N/A
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,22646.0653,23273.4084,24283.3826,28951.2448,31522.4301,39332.1603,41677.4137,53008.6127,40606.4068,77041.3342,69324.4682,61366.4757,76419.4085,101324.5567,99556.8392,94562.0612,98470.2237,108086.3123,95767.0335,103248.6585,#N/A,#N/A
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,38626.8051,39780.7744,51355.6431,46321.8465,41840.1523,51080.4605,58092.6135,63281.9751,40623.8309,63001.6784,52862.0021,48161.6257,57192.4483,78511.7705,75172.9643,76833.0138,73785.0446,84288.519,75818.9314,85402.7658,#N/A,#N/A
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,20002.4829,23782.5061,26543.5877,27314.2819,34586.0024,43834.7875,49330.327,55380.961,38262.3091,60897.4303,60341.1335,51049.4543,66866.6655,83962.7238,84809.6302,78297.3711,80886.1801,86228.2137,80389.5966,80474.454,#N/A,#N/A
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,4520.3402,4858.3812,6602.11,5051.1006,7729.803,10743.5229,15034.2431,21013.6347,14502.8318,7666.9979,16265.5418,11791.3617,10085.667,11535.9955,17093.0369,25566.2078,21165.224,28958.8184,33187.7921,41925.5206,29154.1714,#N/A
9,WES AU Equity,WESFARMERS LTD,AUD,3507.0373,7638.1341,10126.3148,9526.3611,11064.8198,15125.4604,13356.2239,17746.3954,24139.9259,22766.1265,28798.0632,32030.7806,30094.6191,39864.2112,47834.626,43860.0796,45157.8531,45489.6608,55966.3424,40999.6544,50830.0472,#N/A
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,6557.129,11234.7525,13797.1383,12945.4302,11874.8341,17104.0651,22494.2034,32181.1974,29435.7782,31765.5307,33733.2293,33149.6051,32498.3195,41018.6653,44925.1423,34692.5903,26291.2794,32826.4019,39347.1853,41826.2709,45963.9156,#N/A
