Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,652.5013,243.1849,589.2794,483.0054,499.4962,447.5653,319.2779,295.2594,739.8892,937.4613,949.5689,927.1709,1187.1031,5069.6196,6620.3311,7494.8106,7762.8575,7121.6463,6867.7306,6538.297,6255.4427,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,1550.0154,1118.5113,866.8454,1333.4957,911.9932,1078.2443,1462.6411,1734.915,2586.9164,2332.368,6123.5461,6503.1692,10774.3427,8531.4215,10176.3625,9299.0398,8923.3754,8197.6446,8713.6164,6705.5809,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,375,1455,2026,2128,2480,1789,508,512,518,520,523,528,531,537,537,562,550,546,554,55,5,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,5,14,17,31,1429,3332,1912,1912,1924,1934,1929,1982,1970,863,881,817,61,54,52,53,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,46,68,67,2804,3866,6224,168,314,56,20,14,20,47,59,17,19,23,11,11,8,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,12,13,17,17,18,27,34,38,62,65,64,48,49,62,77,106,109,116,140,11,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,-0.301,4,397,398,20,863,848,857,1232,896,537,528,529,552,496,487,548,1707,1823,603,721,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,6.257,23.667,10.391,6.5969999999999995,-2.087,0.052,0.052,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,3.3,3.7,4.4,4.8,5.2,26,229.8,239.4,242.4,244.8,247.3,252.6,258.1,272.1,272.9,297.8,311.3,350,368,383,290,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,7,483,-2,2,2,2,246,251,228,263,312,218,209,264,138,407,36,19,-13,-19,674,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,4.3855,14.8557,16.8656,18.7995,18.2339,17.5818,18.5423,18.8679,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,0,0,0,0,0,0,0,0,322.1229,507.9082,581.5658,595.8069,653.9536,821.1045,1022.6577,1096.0219,1140.363,1062.468,1182.7346,1127.5626,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,5.804,7.539,7.987,10.322,7.985,11.8126,12.9,21.5,26.7,52.5077,66.1391,92.437,119,139,126,140.1142,106.083,109.4035,90.614,91.2851,0,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,-0.012,0.229,0,0,0,0,1.047,0.675,-0.016,-0.944,-2.009,-2.73,-1.768,-4.015,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.2539,0.3529,0.3135,0.3715,0.3543,0.3735,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,865,503,478,686,586,180,172,147,165,170,163,181,202,226,201,222,230,272,306,277,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,0,0,0,0,0,0,0,0,0.4257,0,-2,-4,-4,-4,-4,0,0,0,0,0,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,42,48,67,55,60,66,66,64,86,84.6514,80.1486,50.707,56.8237,52.6493,63.6865,75.4458,69.2809,53.7634,26.9771,0,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,6,6,20,17,17,16,26,35,9,8,10,20,21,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,0,0.105,0.205,0.618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,31.587,35.423,33.495,36.251,7.084,994.352,955.006,1088.26,1104,1141,1189,1284,1364,1511,1685,1436,21,22,24,20,21,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,0,0,0,0,0,0.531,0.268,0.317,0.355,0.387,-11.42,-9.558,-7.805,-2.065,41.085,-26.744,23.172,82.498,90.449,479.433,483.4,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,-0.449,7.535,5.103,0.167,-12.24,-1.375,17.623,18.969,12.089,1.924,2.473,2.047,20.698,23.217,26.351,51.87,69.829,96.744,105.518,79.536,90.645,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,0,0,0,0,0,0,16.446,18.8235,27.38,1.424,4.235,4.233,0.302,0.337,0.49,0.534,0.55,0.48,0.506,0.459,0.376,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-1.2974,-1.3428,-1.3024,-1.3524,-1.4263,-1.4514,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,1,9,11,0,0,0,0,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,0,0,0,0,6.511,4.741,2.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.3,3.8,4.2,2.6,2.6,3.4,4.2,4.3,4.1,4.1,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,24.31,0.119,5.287,14.332,11.648,1.288,0.368,4.126,0.223,-0.739,3.4,83.2,72.4,25.9,27.9,22.5,-9.8,-21.8,-44.4,-34,#N/A,#N/A,,,,,,,
