Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,1665.5461,2568.6864,3366.687,3664.0503,6408.5261,9174.7261,13187.0213,25064.4526,27512.0268,16051.768,22864.8774,33335.5465,22668.0979,19059.7438,23553.9105,9176.9786,6531.6213,16429.1007,20454.3505,23301.4623,22275.1074,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,3723.9677,2984.2178,2393.1169,2488.5162,3699.4551,8665.4548,11321.9803,10008.0125,18546.4442,9757.3626,21355.8105,13428.1774,-1861.4428,7775.3363,12632.1212,5165.7024,9089.4746,18366.7187,23765.0245,16497.0455,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,2558,3380,3560,2954,3921,5008,5855,6545,6241,6463,8193,9057,9964,10480,11847,12327,12560,13392,12705,11080,10309,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,65.573,123.961,180.938,131.241,149.036,432.669,186.096,785.094,955.002,1199.54,1367.439,1198.834,1222.2,1454.4261,1811.1604,2112.7722,1974.5964,2346.5027,3071.9598,3502.4228,4052.1214,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,2391,2653,1920,2942,3458,4099,4530,5145,4901,6096,8038,8514,8862,9865,10740,11411,10614,11498,11741,9772,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,5064,5530,4937,5603,5415,-1155,6788,7942,3187,4983,5676,6728,6159,8088,7782,9515,8978,8661,8400,7177,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,2665,2980,2830,3232,3664,4100,5032,5468,4392,3915,6168,7236,7599,8595,9791,9908,7637,8933,9712,8658,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,293.152,325,349,406,635,530,927,538,1496,915,1524,1092,941,1313,1957,2517,3011,3053,3223,3923,3359,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,240.926,344.732,567,661.694,682.897,972.09,1296.916,1109.643,2086,2881,2625,3102,3421,3277,2720,3650,1101,3947,2262,2719,2521,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,622.4,702.1,835.1,906.8,879.4,1194.2,1676.8,2097.6,2457.9,2815.5,3082.1,3254.4,3346.4,3594.6,3775.2,3549.9,1494.9,2326,2548,2351,2628,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,5846,7221,6015,5838,6078,6748,5334,5718,6021,6555,6499,5691,5822,6091,7161,6519,6295,6206,5749,3690,3872,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,-0.221,-0.6624,-1.4711,-1.0594999999999999,-3.6112,-7.0853,-29.7933,31.3221,642.389,1289.3726,2670.656,2684.6352,2848.2429,5105.6353,1178.9701,2495.8898,4559.291,2379.8235,6590.8212,10232.8559,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,1453.54,1290.165,2002.4755,851.266,449.742,1292.969,2001.4,2405.7952,4107.0633,2092.4165,2492.4553,2091.3689,3658.1651,2610.0916,4054.9331,587.4355,1867.129,2236.7881,3051.1597,1569.7084,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,114.54,69.476,43.975,181.2811,176.949,306.8879,212.3,783,762.8,1094.2347,1296.2103,1538.1113,1617,-5989,-2562,978.2688,832.4211,810.5111,556.2386,1277.0415,1770.6122,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,88.726,128.715,136.679,27.204,269.198,355.137,363.119,338.349,226.838,-194.523,114.606,108.628,108.628,148.076,159.042,296.3,598.1,786.2,871.7,1098.7,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1114.3528,1256.6613,1061.2852,867.2551,817.6008,816.1014,886.8607,863.0478,1012.1927,1128.9751,1297.1209,1044.6441,1014.0061,1034.7813,1141.8734,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,323,-248,411,1213,1326,1285,1030,319,391,487,708,873,1717,1908,1050,1002,1421,1464,1389,579,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,1336.4657,1310.3095,520.3,341.1,754.8814,958.1,1052.9,986.4597,1249.122,759,798,1182,822,848,-1459,-3446.0217,-1678.8019,-225.7668,1581.8348,1864.6582,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,165,-31,385,853,1292,1444,2232,2788,2692,2662.843,1925.9882,1101.8936,1219.0664,-106.767,1362.0046,1594.4677,1841.5703,-638.1502,1268.4145,1352.4527,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3754,4646,523,1148,4234,4109,3243,3204,3478,3094,3050,2841,2992,1951,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,79.072,68.111,77.061,79.205,108.143,7.735,156.279,402.692,462.113,385.125,428.765,452.7,432.6,440.8,470.9,494.1,532.1,537.1,580,606.3,657.2,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,177.256,143.387,203.224,264.391,272.594,626.994,721.073,816.357,946,7852,851,491,1543,1129,855,-134,318,241,224,889,-333,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,20.911,26.567,47.003,50.326,70.236,98.899,192.487,190.757,251.885,301.593,331.622,376.424,415.46,452.092,519.226,751.069,830.387,868.12,703.996,996.901,861.4,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,54.459,77.493,92.533,109.311,132.142,238.28,284.84,308.644,357.645,318.501,434.944,455.14,492.075,505.804,572.431,515.447,660.652,640.986,692.25,808.32,811.914,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,-5.607,-5.849,-5.734,-1.5499,2.3590999999999998,5.4197,12.676,18.7524,40.414,46.957,70.899,92.692,110.798,145.05,203.898,290.126,343.778,165.246,410.418,264.771,253.388,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-59.9253,-337.707,-1542.589,1936.7369,1537.0769,587.4671,240.1589,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136.7,518.7,173.1,1025.6,342.1,785.5,184.6,623,954,540,-282,969,2425,1439,1587,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,34.313,45.361,45.087,82.41,59.391,84.357,109.157,137.047,139.477,174.645,219.352,240.195,76.804,181.375,130.203,205.23,253.909,315.212,353.6,380.9,-254.2,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18.4,146,64.3,-219.4,141.3,275.4,408.7,506.3,663,455.1,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9269,-4.6763,-5.9587,-7.5565999999999995,-6.4897,-6.6521,-12.8518,-33.7207,-69.5878,-83.6839,-66.6825,-19.7704,-6.9989,31.0501,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,84.8172,73.8937,152.3753,235.3935,269.2709,554.8936,520.361,358.032,574.2668,288.7778,300.5794,428.0929,341.6062,409.9958,792.7888,387.9778,510.8293,829.4582,964.1182,979.8261,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,188.538,149.54,190.943,138.825,149.283,168.124,329.893,417.094,330.811,277.134,810.5,165.5,648.3,543.6,37,847,796.8,1048.9,1111.8,1159.7,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,767.1,512.5,642.7,641.4,1601.4,361,29.6,756.4,2325,-429,441,563,-16,237,-3706,1088,1643,1377,1519,1451,-2384,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.082,-1.646,-17.207,5.57,8.07,19.153,95.002,110.479,230.309,255.74,256.127,270.61,493.337,515.078,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,417,141,-71.6,221.7,593.1,680.1,458,955,330.1,124.5,965.5,828.9,1014.5,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,302.277,344.941,408.671,402.734,543.352,851.4,859.7,809,1063.8,898.6,534.6,204.5,310.3,317.4,318.7,334.6,301,101.6,368.5,724.3,-574,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,83.4096,171.1084,147.2777,61.752,110.761,134.302,242.0047,399.2342,464.1303,528.5279,483.0343,400.7424,261.8848,248.6293,420.5405,351.3896,413.2408,556.6965,582.9742,833.7095,573.8156,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,196.404,312.871,216.878,396.6,546.3,628.7,628.3,616.3,453.6,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,133.318,38.992,359.385,282.103,636.878,614.861,479.125,693.992,97.036,379.503,468.858,-945.428,190.932,902.05,162.517,837.966,938.908,969.568,834.142,633.603,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,203.5,137.1,328.1,436.1,450.9,494.2,126.9,741.9,886.9,770.7,876.9,940.8,602.3,919.6,827.4,-1262.8,582.3,605.8,225.8,429.2,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,-0.0014,-0.102,-0.3194,-0.4395,-0.8016,-1.6248,-0.1894,-4.6882,-1.2858,20.691,29.875,35.36,34.439,163.072,237.72,264.937,273.726,222.322,362.303,#N/A,,,,,,,
