Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,1515.7267,1435.3328,3240.5079,3265.3357,4919.5772,8813.0558,14097.0248,17188.5087,17844.9743,8619.5124,14778.6153,24279.2444,15064.2177,12492.1225,16294.2331,5275.9214,-428.5733,8879.8062,9994.2262,13315.9206,13031.2287,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,2912.3671,1701.9518,740.0254,2347.108,4407.2833,7215.3068,10445.6455,9257.4713,6509.0368,7397.6387,16552.8229,6565.8128,-2917.2586,1118.4626,7214.0734,-2289.7995,6424.6456,11550.6485,18651.1845,10031.1705,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,2738,2412,2656,2018,2581,3410,3959,4497,4822,4753,5680,6410,7106,7634,8650,9084,9243,9786,9070,8101,7459,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,54.402,78.241,123.808,70.423,140.065,234.729,117.357,539.299,701.802,1145.932,1052.901,940.601,982.6,1180.4179,1424.043,1657.2883,1706.6007,1774.1041,2231.2781,2683.7455,3136.2361,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,1718,1908,2197,2191,2579,2949,3125,3518,3932,3517,6412,7059,6036,6890,7625,8068,7460,7997,8099,6790,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,3241,2088,3379,3947,3551,-2330,5141,5572,3108,2589,4225,5220,4083,5363,5184,6806,6425,6181,5945,5090,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,1749,1872,2325,2351,2819,3178,3692,4187,3327,2945,4505,5363,5667,6320,7283,7507,5720,6359,7111,6311,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,210.059,241,250,336,497,841,968,1520,1888,974,1093,989,762,872,1279,1623,2088,2236,2581,2988,2726,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,207.77,251.604,414.186,537.918,868.579,701.837,1048.142,786.487,1063,1535,1565,1922,2126,2128,1510,2440,407,2760,1409,1940,1622,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,321.7,476.1,563.7,651,731.1,817.2,1026.7,1311.3,1651.5,1860,2038,2123.6,2179.2,2254.9,2458.4,2300.8,762.9,1481,1676,1558,1209,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,3673,4061,3650,3394,4117,4309,3183,3275,3711,4076,3940,3250,3424,3640,4549,4114,3832,3874,3557,2149,1839,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,0.724,-0.5702,-1.4333,0.6016,-4.5186,-1.6383999999999999,-244.8573,-862.8127,690.9237,659.9721,1033.1809,1512.0471,1701.3452,2985.3694,379.7702,1353.0278,2776.4318,1133.1264,4457.7562,7063.0572,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,966.637,909.553,1015.6885,526.685,1146.383,1107.427,1362,1560.8388,2138.5467,1877.5473,1717.9205,1462.4076,2940.4422,1880.344,2792.831,150.522,1308.8736,1520.3373,1964.904,549.6138,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,5.288,39.889,-51.273,156.5385,123.931,181.766,137.1,93,163.4,383.6485,683.8901,979.4433,1175,-5780,-2215,465.0983,460.1668,423.1638,269.7305,780.492,947.2104,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,64.737,86.253,80.095,-106.04,142.172,244.321,240.055,247.936,101.927,-157.299,77.751,66.899,66.899,111.206,116.978,156.7,350.5,495.1,542.6,698.8,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,485.246,552.3604,723.2122,590.2285,504.2838,478.3658,557.5856,542.0724,636.8425,706.1803,813.6024,590.1742,714.3342,635.1638,711.8249,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,184,-83,217,806,928,862,629,-226,247,190,338,586,1169,1330,830,702,1015,1026,969,498,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,840.5575,862.3867,316.3,322.3,482.1834,763.6,670.9,507.8104,1975.8208,434,498,751,518,516,-935,-2601.4999,-1408.4179,-469.8038,843.8238,969.7374,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,104,-17,278,577,864,1098,1493,1934,1866,1973.471,1409.6316,696.7999,753.4642,-252.9239,831.4111,923.1129,1135.3436,-1586.8928,743.3686,817.2267,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1064,588,353,789,457,728,496,737,1140,1045,1085,969,1076,646,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,53.618,51.018,59.232,58.166,83.223,165.469,135.503,292.892,365.949,313.61,328.137,352.3,339.2,348.2,383.2,397.8,426.2,434.1,445.1,492,498.6,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,98.383,103.629,133.6,166.303,206.923,371.403,454.08,496.877,622,6998,680,248,1058,461,427,-449,-296,-2049,283,1214,86,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,6.616,16.004,31.071,37.055,38.353,27.133,79.482,106.831,94.895,106.505,148.846,200.366,245.858,268.375,310.064,419.086,511.262,550.996,411.214,572.391,309.2,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,21.91,26.127,32.207,39.945,57.883,147.174,185.815,210.054,250.406,172.555,293.784,294.489,317.685,339.668,388.86,354.037,466.001,442.42,485.065,559.069,541.903,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,-6.281,-6.218,-5.96,-1.5396999999999998,2.4775,8.092,6.6411,10.988,25.488,28.703,49.366,67.505,86.782,109.746,149.881,200.498,254.736,47.91,253.1,105.278,112.585,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,-1112.8709,-2218.4161,1632.9611,1719.0482,544.1064,-96.9585,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.6,354.2,310.3,718.2,356.1,558.7,114.9,375,570,218,-407,539,1582,905,1015,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,20.167,31.178,40.11,58.213,36.134,58.474,78.225,97.676,115.234,130.54,155.152,180.114,56.803,132.563,93.709,145.84,188.921,223.616,245.8,276.7,-238.3,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.4,89.7,47.6,-102.4,77.6,173.4,269.9,360.4,408.5,260.8,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.9009,-3.7715,-5.5524000000000004,-6.7363,-5.8183,-6.1038,-11.5835,-30.5805,-64.4021,-75.9561,-65.0537,-23.019,-25.3499,3.1694,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,57.1365,23.3148,86.5204,123.361,135.6475,262.2445,547.0215,163.9658,375.218,170.9745,202.1874,196.2311,169.8521,213.2459,392.0819,-52.4589,120.7917,394.2333,457.0069,449.5035,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,158.003,159.928,174.213,150.975,122.062,217.204,277.389,455.236,609.091,439.231,615.1,-405.7,442.1,226.9,-112.8,514.4,552.4,690.6,771.7,-1037.3,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,517.9,419.7,429.3,346.6,648.8,689.3,480,672.8,970,123,116,249,-244,2,-2843,560,1029,853,953,840,-1964,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.145,-3.902,-12.365,3.826,5.792,13.66,66.6,82.939,174.295,198.357,196.225,211.791,376.947,396.214,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,417,141,-301.5,360.9,440.9,446.9,253,604,72.4,-37.2,560.1,473.3,605.1,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,174.78,187.682,260.959,252.624,311.027,435.4,542.6,449.5,-165,521.7,275.7,-56.4,160.1,147.6,149.4,334.5,169.7,-20.8,152.1,372.3,-870,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,64.7124,78.4475,110.4124,17.133,83.646,130.082,187.5557,305.5074,323.2331,353.3878,342.3722,272.6503,170.7925,156.4702,277.3212,189.0174,222.251,360.4201,397.9222,586.0054,347.1578,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,126.595,232.741,130.802,285.3,417.6,449.5,445.1,437.7,315.6,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,37.223,-185.522,215.716,198.339,503.369,594.953,467.197,648.816,33.181,314.76,317.978,-713.221,57.601,528.757,22.67,522.621,610.48,620.752,561.59,383.819,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,123.3,-206.6,229.9,113.6,353.5,211.5,120.5,513.4,567.3,507.4,503.9,663.4,423.8,609.9,586.2,-1403.8,354.9,399.4,-34.5,250.5,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,-0.0014,-0.102,-0.2075,-0.2653,-0.693,-1.5348000000000002,-0.0866,-4.6646,-1.2808,16.285,21.964,28.328,21.871,108.726,165.327,188.897,194.113,154.711,258.327,#N/A,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,310,368.4,137.006,-1197.904,292.293,335.855,513.325,395.787,655.763,378.307,943.576,1824.969,573.2,402.9,81.9,#N/A,,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,206.2,449.1,209.4,194.5,277,320.5,313.6,367.6,385.6,449,497.3,591.8,458,80.6,272.8,403.4,257.3,460.3,414.5,383.8,#N/A,#N/A,,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,9.715,25.558,30.645,68.705,141.742,226.32,347.3,400.9,303,382.4,376.5,344.2,268.6,-39,48.6,56.2,75.7,164,188,#N/A,,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,5.821,13.835,20.447,34.157,55.515,76.28,55.301,89.521,96.714,137.458,308,198.4,315.2,399.4,362,90,198.4,-90.8,#N/A,,,,,,,
46,APT AU Equity,AFTERPAY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.5523,-9.6196,-8.975999999999999,-43.799,-22.857,#N/A,,,,,,,
47,BSL AU Equity,BLUESCOPE STEEL LTD,AUD,#N/A,#N/A,3.8,472.7,601.8,982,342.8,718.3,614.3,-79.1,133.8,-1046.1,-1026.3,-87.3,-1,174.9,618,761.7,1654.4,1015.1,128.3,#N/A,,,,,,,
48,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.1,9.8,10.4,2.167,32.192,40.794,54.089,160.8,#N/A,,,,,,,
49,AWC AU Equity,ALUMINA LTD,AUD,1326.2781,544.2378,386.0282,364.8329,430.1179,414.178,678.6284,521.5544,201.1623,-30.3119,37.6919,122.6911,-53.7085,0.5183,-109.1158,117.6203,-40.6249,443.4426,851.0566,307.8988,#N/A,#N/A,,,,,,,
50,SVW AU Equity,SEVEN GROUP HOLDINGS LTD,AUD,79.971,8.794,69.877,60.018,93.633,83.71,107.677,1560.611,141.594,8.208,718.742,79.913,176.748,488.605,262.5,-359.1,184,16.4,405.2,202.9,118,#N/A,,,,,,,
51,AMP AU Equity,AMP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,
52,EVN AU Equity,EVOLUTION MINING LTD,AUD,#N/A,#N/A,#N/A,#N/A,-1.0111,-0.9406,-12.6068,-9.7302,-2.2917,-6.814,5.547,-2.303,37.313,-307.421,50.017,100.115,-24.349,217.607,263.388,218.188,301.552,#N/A,,,,,,,
53,REH AU Equity,REECE LTD,AUD,38.789,28.22,42.46,46.74,61.528,75.762,86.859,103.493,113.567,96.732,114.261,118.611,113.28,119.131,123.025,165.556,192.218,211.791,224.62,202.1,228.999,#N/A,,,,,,,
54,AST AU Equity,AUSNET SERVICES,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,136.904,161.246,151.024,146.9,209,252.9,255,273.5,178.3,22.6,489.3,255.1,291.4,253.9,290.7,#N/A,,,,,,,
55,TPM AU Equity,TPG TELECOM LTD,AUD,#N/A,-1.283,2.222,5.809,9.659,17.168,2.761,5.963,-18.933,17.661,55.726,78.162,90.964,149.165,171.7,224.1,384.6,415.7,397.5,175,#N/A,#N/A,,,,,,,
56,BPT AU Equity,BEACH ENERGY LTD,AUD,2.6310000000000002,3.614,2.863,7.895,9.568999999999999,16.376,43.988,103.762,63.732,260.398,33.118,-97.45,164.225,153.65,101.777,-514.1,-588.8,387.5,198.8,577.3,500.8,#N/A,,,,,,,
57,QUB AU Equity,QUBE HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.324,65.459,-1.47,81.07,93.331,95.881,92.5,77.3,199,195.7,86.6,#N/A,,,,,,,
58,BLD AU Equity,BORAL LTD,AUD,105.8,153.7,192.8,283.8,370.5,357.1,340.2,298.1,242.2,142.2,-17.5,176.8,210.5,-269.3,106.1,243.4,245.5,245.7,424.1,194,-1133.1,#N/A,,,,,,,
59,SOL AU Equity,WASHINGTON H. SOUL PATTINSON,AUD,68.302,68.418,88.243,106.052,189.25,164.68,100.766,153.207,112.991,1851.887,291.092,558.25,189.31,134.252,155.588,75.554,129.459,391.354,373.131,359.269,874.455,#N/A,,,,,,,
60,IPL AU Equity,INCITEC PIVOT LTD,AUD,#N/A,#N/A,#N/A,-18.623,75.039,14.492,46.7,205.3,604.6,-221.4,412.2,467.3,508,367.7,248.2,398.9,129.4,321.6,210.8,152.1,#N/A,#N/A,,,,,,,
61,HVN AU Equity,HARVEY NORMAN HOLDINGS LTD,AUD,111.271,106.459,129.059,161.676,186.959,208.387,222.152,330.691,363.459,219.34,237.988,259.62,176.315,144.477,212.238,268.914,351.34,452.966,380.05,409.002,486.023,#N/A,,,,,,,
62,CGF AU Equity,CHALLENGER LTD,AUD,#N/A,#N/A,#N/A,#N/A,-235.445,119.6,129.9,227.4,-30.8,-104.3,285.8,292.5,166.7,461.3,369.7,327.9,329.9,398.2,323.8,310.7,-421.1,#N/A,,,,,,,
63,DOW AU Equity,DOWNER EDI LTD,AUD,41.025,45.516,56.431,66.572,86.255,123.29,-24.929,101.498,165.842,189.376,3.052,-46.282,107.515,203.986,216,210.2,180.6,181.5,71.1,276.3,-155.7,#N/A,,,,,,,
64,BEN AU Equity,BENDIGO AND ADELAIDE BANK,AUD,21.312,33.278,48.699,59.037,79.5,94.3,116.7,121.7,199,83.8,259.9,346.6,195,352.3,372.3,423.9,415.6,429.6,434.5,376.8,192.8,#N/A,,,,,,,
65,ALU AU Equity,ALTIUM LTD,AUD,12.7793,23.4835,2.253,-6.976,-88.02,-1.604,1.557,1.066,-3.1292,-1.141,-11.7613,-7.2282,5.894,1.3311,12.1659,111.0443,31.621,37.245,48.3824,73.9831,46.0643,#N/A,,,,,,,
