Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,1547.6031,1908.8062,3150.6531,3196.5918,4784.6016,8504.5722,13984.6126,17086.6207,17205.4977,7992.5646,14452.5747,23977.0973,14952.6812,10935.9665,15070.6675,2295.4465,-8770.6419,7813.2744,4781.5868,11617.861,11867.7262,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,2596.5997,1452.4611,798.9329,2317.9018,4479.2888,6843.9114,9876.0278,8738.7852,4401.6224,6231.206,15510.3055,5646.1144,-2924.9865,3799.0411,7245.1542,-1153.5581,6210.7598,11434.5025,18266.7759,11524.6236,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,2700,2398,2655,2012,2572,3400,3928,4470,4791,4723,5664,6394,7090,7618,8631,9063,9223,9928,9329,8571,9634,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,54.402,78.241,123.808,70.423,219.625,487.774,117.357,539.299,701.802,1145.932,1052.901,940.601,982.6,1180.4179,1424.043,1657.2883,1706.6007,1774.1041,2231.2781,2683.7455,3136.2361,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,1715,1903,2192,2183,2539,2698,3071,3451,3859,3446,6346,6991,5970,6816,7561,8012,7445,7990,8095,6784,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,3239,2083,3373,3955,3177,3992,4392,4578,4536,2589,4224,5219,4082,5355,5295,6338,352,5285,5554,4798,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,1747,1870,2322,2348,2815,3175,3688,4180,3319,2943,4501,5355,5661,6310,7271,7493,5709,6406,6400,5953,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,210.248,241.964,279,333,494,812,916,1463,1803,871,1050,956,730,851,1265,1604,2063,2217,2557,2982,2731,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,207.029,251.006,413.923,538.208,873.114,701.837,1048.142,786.338,1063,1535,1565,1922,2126,2261,2689,2440,407,2873,1197,5510,1697,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,321.6,475.7,563,650.6,730.7,816.2,1014.6,1294,1626.8,1835.7,2020.8,2124,1816.7,2259.4,2451.7,2146,-1234.8,1534,1724,2692,1165,#N/A,,,,,,,
