Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,5066.2809,4782.8575,6142.793,11887.2538,18957.514,24468.4077,26253.197,15798.8129,22234.3807,31689.96,22328.639,19221.4983,23681.3879,9681.7364,2460.1754,14773.5886,19037.2973,21049.5051,19130.6672,32556.1436,45692.5486,31819.0105,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,1608.9109,3218.6271,2865.0813,9595.9118,13596.4675,11755.2915,10989.6872,10052.8077,22322.0727,12806,-2348.2966,3633.1894,10602.9896,-967.0706,8532.5643,16725.0154,24332.9313,15997.789,22354.2681,41076.5674,26921.3783,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,3572,2976,3843,5012,5859,6538,6255,6449,8193,9057,9964,10645,11997,12612,12849,13665,13022,11376,10479,12375,13684,14343,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,156.453,101.732,147.66,410.283,170.465,774.059,952.024,1369.747,1567.1024,1214.7926,1180.1532,1423.9266,1747.9664,2059.8928,2137.2344,2241.574,2944.0636,3274.5695,3837.6193,3971.1473,3833.3369,3959.3489,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,4341,5628,4741,-516,7275,7827,3147,4983,5676,6728,6159,8088,7782,9515,8978,8661,8400,8345,5163,9068,9744,#N/A,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,3223,3277,3987,4398,5214,5865,4515,4380,6601,7672,7994,9077,10308,10533,8178,9233,9895,8920,5516,8937,10079,#N/A,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,2668,2919,3492,4172,4547,5148,5219,6096,8038,8514,8862,9865,10740,11416,10644,11515,11731,9749,4266,8501,8469,#N/A,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,-0.5702,-1.4333,0.6016,-6.0083,-2.1926,-357.2118,-1233.5705,900.2481,657.9614,1350.5368,2194.8445,2402.9309,4263.4125,504.7579,1859.8981,3935.8209,1606.768,6390.8026,9979.272,19730.4276,12197.7332,10238.106,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,1620.4291,1275.0333,2236.4907,2120.1466,2797.8981,2538.4546,3921.4672,2930.1504,2477.2043,2118.5043,3533.5537,2445.2764,3895.089,474.2109,1802.5597,2127.1672,2806.0489,1240.2279,-7901.1902,4383.0281,13234.2045,#N/A,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,326,432,658,1129,1258,1897,2205,989,1294,1271,1049,1405,2106,2522,3015,3104,3464,3867,3454,3907,6539,6992,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,607.301,788.644,1232.391,966.634,1467.055,1104.968,1429,2014,2215,2706,3044,3036,2449,3444,1038,3929,2134,2799,2374,3373,3320,3509,,,,,,,
12,TEAM US Equity,ATLASSIAN CORP-CL A,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.1114,24.2185,-0.9002,-6.7404,-79.1303,-75.0225,-847.01,-516.4296,-850.5768,-649.3755,-462.5971,,,,,,,
13,TLS AU Equity,TELSTRA GROUP LTD,AUD,5446,4928,5848,6055,4564,4692,5140,5658,5538,4557,4934,5157,6228,5860,5600,5647,5139,3072,2796,2441,2481,2863,,,,,,,
14,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,782.2,906,1017.8,1152,1472.5,1877.7,2337.5,2626.3,2870.6,2992.8,3064.2,3214.8,3515.1,3296.6,1249.3,2132,2394,2225,1355,2210,2091,2322,,,,,,,
15,GMG AU Equity,GOODMAN GROUP,AUD,#N/A,#N/A,#N/A,51.4,505.8,624,281.4,-1119.3,-483.7,460.5,460.2,199.2,691.7,1250.2,1370.3,851.2,1185.2,1744.7,1617.1,2420,3738.1,1742.1,,,,,,,
16,TCL AU Equity,TRANSURBAN GROUP,AUD,-67.165,-83.578,-61.49,-86.893,-117.632,-101.201,-170.908,-52.369,25.543,108.772,-12.646,117,199,-363,-47,174,289,30,-242,-480,-260,66,,,,,,,
17,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,120.243,-99.795,225.458,363.947,332.928,326.231,136.834,-207.881,101.201,85.457,85.457,139.414,150.79,228.6,507.2,728.1,763.1,973.5,359.6,935.9,1229.1,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,897.4188,656.3604,705.2628,1489.5186,1317.1578,936.5033,3033.2399,717,793,1282,911,869,-1544,-3460.6742,-1997.6128,-763.4312,1481.3795,1464.6775,-444.4419,1605.334,4252.718,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,311,765,1115,1523,2012,2549,2420,2418.5572,1689.5971,841.1993,908.9869,-464.3848,1033.4363,1269.4467,1442.0478,-1034.8734,839.8056,966.8598,-2137.9691,1216.3236,1325.7286,#N/A,,,,,,,
20,NCM AU Equity,NEWCREST MINING LTD,AUD,-138.904,206.7834,175.021,262.7429,246.2362,131.6903,223.5932,557.1812,921.3204,1318.0914,1577,-6199,-2725,867.7028,622.2554,640.715,422.0186,1160.9469,1469.2949,2235.454,1694.6658,1599.797,,,,,,,
21,1208 HK Equity,MMG LTD,AUD,5.4755,16.9039,42.7542,38.4082,711.082,1148.7427,20.0959,281.76,525.9429,687.2056,329.8821,208.4549,182.3776,-1612.4504,-64.9729,966.4908,410.1251,-244.5925,76.1071,2003.4036,664.3069,#N/A,,,,,,,
22,COL AU Equity,COLES GROUP LTD,AUD,491,693.7,874.6,972,752,990.9,990.9,990.9,1479.3,1425.2,1319,1446,1467,1465,1465,1465,1465,1465,1465,1465,1465,1465,,,,,,,
23,WTC AU Equity,WISETECH GLOBAL LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.9,13.2,14.6,3.452,44.164,57.152,76.428,181.8,147.9,252.4,301,,,,,,,
24,REA AU Equity,REA GROUP LTD,AUD,-5.96,-1.5397,2.4775,5.6196,10.584,18.4573,40.208,47.301,71.963,97.286,118.45,154.508,213.197,286.526,343.369,150.687,377.697,244.954,233.694,468.36,547.9,512.9,,,,,,,
