Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,20466.2944,19677.1073,30390.0379,26823.8732,32179.0118,35531.4538,43028.4447,60461.6238,66488.7955,68285.6325,59980.1161,72737.3554,70050.7461,64266.2211,61845.0858,53643.7423,39240.5525,47934.2393,55661.2836,61947.0053,64038.8828,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,13564.9501,10950.5126,10362.1962,14184.0857,17599.2426,24977.98,29828.5783,35495.3393,64975.4181,53493.4712,60101.0723,58667.8389,49208.937,53042.4922,52908.3852,46394.0813,45441.9921,52239.5728,54275.2818,62104.9163,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,11341,16699,15278,15879,18341,22029,25605,30232,35896,37692,39581,44280,45520,41516,40882,41705,41171,40871,40615,39694,35308,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,450.598,843.308,1336.412,1300.344,1597.662,2608.965,2848.908,3172.397,3556.662,4806.609,4586.459,4293.214,4582.6,4969.6625,5997.1058,6745.0072,8400.1733,9215.4189,10215.302,11943.2058,13649.9734,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,12110,13276,11924,13672,16160,18917,21619,25915,33004,35305,39219,42944,42354,38783,38643,39665,37629,37501,38304,37211,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,24013,26166,21523,25544,24472,28434,31827,37269,41424,35863,34576,38079,39015,36141,35860,34322,32821,32245,34139,33576,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,12808,12930,11797,12911,17119,21170,25555,30046,36808,29812,31275,35753,36089,34279,35675,37362,36006,34662,36745,36723,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,2084.9099,2503,2626,2986,3789,5666,7052,9735,13528,11718,10827,11801,11328,10343,11526,13112,14548,14262,12568,18529,17805,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,3358.4951,4243.2842,7192.5371,7425.8359,7444.313,8101.112,8818.291,9666.35,33431,50836,51678,54730,57936,57621,60171,62420,65850,64830,26755,27894,30836,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,20019.9004,20915.0996,24473,26321.4004,27933.9,31352.5,37734.2,42477.1,47034.8,49697.8,51784.8,52745.7,54916,58674.1,60952.2,59001.3,53663.7,55034,56944,59984,63675,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,19343,18679,20196,20495,20737,22161,22712,23673,24657,25507,24917,25093,25368,24474,25320,25528,25911,26013,25848,25259,23710,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,1.371,3.5604,2.5143,1.5888,1.7466,0.8343,0,155.726,2486.8449,3658.0873,5517.7336,6513.732,7912.3272,12805.4912,10304.2711,9729.4372,11205.2171,8888.2019,13938.3559,19123.2088,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,2395.22,2398.3049,4124.6346,2059.282,2124.841,2746.715,3475.5,4590.4915,7172.3934,4459.8143,4567.6859,4653.7318,6132.039,6142.7334,8253.0598,6700.2277,5481.6648,5187.417,7018.4709,7011.1724,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,697.487,583.106,479.667,1043.5703,711.389,1310.3902,1393.1,2126.5,2363.1,3441.8211,3183.1563,4159.0855,4416,3775,4040,4331.3031,4526.1183,4612.3523,4597.0343,5234.052,5850.3296,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,533.471,766.81,969.47,981.284,1132.854,1296.323,1074.534,1121.969,1079.902,908.648,680.51,704.302,704.302,798.046,833.665,1582.4,2128.7,2453.8,3509.5,4397.4,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4713.4166,4927.3046,4872.7669,5465.1898,4710.8895,4737.2206,5455.59,4952.9024,5888.4776,6538.417,6730.9354,6771.0181,5769.2651,6427.5893,7060.9689,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,3207,3109,5152,6966,7329,7202,7931,8174,8387,7979,8213,8525,9134,9682,11309,8308,8872,8242,7917,7660,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,2585.0423,2823.1125,1478.4,1465,1861.8504,2342.9,2689.1,2938.1058,3306.9643,2181,2228,2721,3223,3602,4037,3252.8739,3489.4327,4045.5327,4902.2144,5802.5976,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,2150,5070,6040,6415,7477,8135,9205,11560,12749,14790.1614,13095.1948,15636.8102,16468.9876,16813.2189,16557.181,17288.7186,15889.4293,15802.3729,16323.3024,18193.3665,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9142,13883,9398,10978,14247,13198,13445,13656,13204,12486,12670,13052,14384,13553,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,185.463,184.246,195.648,195.106,227.88,265.971,291.956,538.073,598.228,543.76,598.665,627.3,620.2,626.9,662.1,703.6,748,767.6,828.3,873.2,949,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,1496.132,1655.375,2389.178,3326.5491,3521.787,4869.969,5879.756,6227.039,8275,8042,8534,10344,12935,14747,12363,11893,11456,13646,14604,14727,13157,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,318.163,377.012,538.85,646.252,752.253,1121.067,1928.415,2050.916,2671.708,3222.307,3399.254,3719.691,3956.476,4174.535,4909.314,7355.489,8684.116,8702.506,9176.235,11552.785,12160.3,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,384.663,621.531,849.262,964.598,1025.895,1359.902,1626.795,1846.843,2331.425,2983.187,2958.631,3076.583,3320.557,3451.983,3878.282,4166.442,4982.469,5088.946,5507.891,6133.671,6831.843,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,2.335,3.765,5.6690000000000005,9.1404,18.9969,33.418,60.3916,107.2928,133.562,167.795,194.335,238.401,277.613,336.46,437.459,522.92,579.059,671.206,807.678,874.949,820.269,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,929.3869,4618.5344,7983.5506,9219.3985,9742.5637,10174.3704,9061.895,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,384.2,3458.9,5424,5954.7,6610.7,7072.5,7455.6,9716,10445,10678,11150,12584,12816,13246,12160,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,144.158,220.111,254.981,288.576,282.774,348.966,452.26,542.886,580.442,694.699,734.803,809.646,778.996,752.721,804.936,925.63,1130.552,1253.838,1363.7,1426.7,1320.6,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1454.1,1680.6,1728.4,1790.2,1971,2343.3,2534.2,2496.4,2883,2678.2,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.1173,0.7887,2.5175,7.2591,14.9584,30.2692,61.7558,114.8667,190.7191,278.2651,375.7274,516.2986,682.3677,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,241.068,239.5594,422.1035,538.6329,565.9177,871.392,855.7994,859.0051,975.0743,655.0363,635.7068,710.2407,699.9672,794.2898,1787.5561,2112.2741,1662.5358,1887.0466,2057.0026,2280.1892,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,3445.3491,4272.729,4979.5811,4848.54,4834.376,6252.419,8502.577,9967.04,10269.123,13235.548,14541.8,15531.5,20768.4,16197.6,16779.9,13273,10846.7,13429.4,14670.2,14701.1,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,9072.0996,10127.2998,10968.5,11374.5996,9448,10331.5,11391.8,12822.6,15627,14552,13772,14894,15724,15902,15352,15816,16200,16057,17128,17966,14257,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.075,9.901,-5.941,12.578,18.314,35.846,120.906,148.109,284.912,329.844,338.268,452.598,617.387,693.952,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2402,2614,2865.9,3196.7,3504,3724.1,3812,3732,3457.8,3142.5,3112.7,2905.2,3061.6,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,1586.762,1812.959,1933.052,1906.14,2462.753,3760.6001,3776.8999,3835,3947.3,4211.3,2865.6,2947.5,1947.6,1998.5,2036.8,2155.5,2188.7,2234.1,3757.3,5482.2,5224,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,629.3438,1363.1225,1447.3408,694.519,871.24,1063.478,1603.6269,1788.3856,1748.4665,2034.1927,1817.2062,1621.1835,1748.3241,1964.1836,2191.54,2362.9794,2693.8645,2793.361,2955.2774,3281.4275,3388.3462,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5400.412,6005.022,6495.979,6681.6,6811.6,6948.1,7014.5,6765,6779.4,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,4905.9741,4695.624,5685.9878,6768.1348,13447.872,15700.797,18441.437,19071.621,23643.459,17740.3,18671.905,22105.204,23320.714,24524.42,24231.2,19926.546,17933.201,16285.81,21731.342,22307.079,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,3672.7,4041.8999,4085.2,3958.6001,4610.5,4052.8,4745.6,5527.2,6544.1,6470.9,5812.1,6182.3,6674.1,6885.2,5721.5,5653.3,5091.9,5039.2,5373.8,5878,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.0042,0.0042,0.0042,0.0042,0.0042,0.0094,0,114.925,99.525,144.236,296.976,728.151,785.788,869.407,964.025,1401.165,1971.653,#N/A,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1726,1908.509,2027.4,2194.9,2331.121,2400.254,2792.721,2878.44,3077.136,3464.652,3587.475,3282.56,3016.4,2866.6,2201,#N/A,,,,,,,
