Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,19.75,10.39,10.3,8.64,12.53,18.15,29,35.03,43.7,34.72,37.65,43.8,31.45,31.37,35.9,27.05,18.65,23.28,33.91,41.16,35.82,#N/A,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,29.437,37.206,33.95,37.2,39.12,69,74.3,133.95,38,74.89,85.47,60.3,66.01,68.18,58,44.71,59.9,75.81,78.47,100.4,#N/A,#N/A,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,27.69,34.15,32.93,29.55,32.58,37.95,44.41,55.25,40.17,39,48.64,52.3,53.1,69.18,80.88,85.13,74.37,82.81,72.87,82.78,69.42,#N/A,,,,,,
4,CSL AU Equity,CSL LTD,AUD,33.035,47.7,32.18,11.95,22.3,33.72,53.75,88,35.7,32.15,32.58,33.06,39.42,61.58,66.55,86.47,112.18,138.03,192.62,215,287,#N/A,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,12.75,13.29,13.85,16.2,17.73,21.1,22.71,28.5,21.48,26.25,23.24,20.34,24.85,32.73,32.14,29.7,29.51,31.92,27.93,29.64,#N/A,#N/A,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,25.507,25.66,33.48,30.8,26.98,33.05,36.7,39.71,24.26,30.76,25.34,22.37,25.49,34.32,32.54,29.98,27.87,31.5,27.81,29.7,#N/A,#N/A,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,13.28,15.98,17.65,17.95,19.02,24,26.86,29.7,18.75,24.39,23.68,19.52,24.75,30.78,30.92,27.08,27.63,29.6,28.18,28.52,#N/A,#N/A,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,26.4,27.625,33.26,24.7,35.8,48.03,64.68,82.75,52.82,27.05,47.25,36.6,29.08,37.15,57.93,76.67,66.09,90.2,102.9,129.42,85.75,#N/A,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,13.3,27.11,27.2,25.3,29.4,40.01,35.33,45.73,37.3,22.65,28.65,31.85,29.9,39.6,41.84,39.03,40.1,40.12,49.36,36.16,44.83,#N/A,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,6.186,10.85,13.15,12.68,11.62,16.48,19.36,27,24.45,25.96,27.4,27.25,26.38,32.81,35.66,27.39,20.56,25.36,29.96,33.23,36.39,#N/A,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,6.78,5.38,4.66,4.4,5.03,5.06,3.68,4.59,4.24,3.39,3.25,2.89,3.69,4.77,5.21,6.14,5.5600000000000005,4.3,2.62,3.85,3.13,#N/A,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,0.085,0.14,0.09,0.21,0.51,2.9,9.5,33.8,11.9,3.79,4.12,6.35,4.9,3.04,4.35,1.9100000000000001,3.5,5.22,4.39,9.02,13.85,#N/A,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,14.747,13.391,12.38,14.8,20.1,39.19,38.11,50.39,36.7,47.2,42.56,30.62,33.88,38.9,38.01,28.72,31.16,33.08,31.32,34.38,#N/A,#N/A,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,4.5,4.489,7.58,7.65,13.78,17.38,21.08,22.85,29.3,30.51,35.1,37.71,22.61,9.87,10.52,13.02,23,20.16,21.8,31.95,31.53,#N/A,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,5.169,6.6,4.68,1.72,9.95,12.32,15.9,11.25,3.88,4.02,2.99,2.2,2.69,4.62,5.84,8.61,15.81,21,28.44,30.6,#N/A,#N/A,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12.18,8.73,5.96,5.46,7.22,6.16,9.34,9.19,10.6,12.39,9.73,8.88,12.88,10.87,#N/A,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,3.402,3.15,3.4,5,6.01,5.35,5.7,3.4699999999999998,3.51,3.41,3.4,3.48,5.44,5.84,5.58,5.45,6.78,8.53,8.26,5.77,#N/A,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,6.02,6.2,6.02,6.87,8.48,12.25,9.87,14.12,14.87,14.09,13.15,12.24,11.1,14.63,8.25,3.68,4.02,5.45,5.48,8.18,#N/A,#N/A,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,9.89,7.68,8.15,10.6,15.35,19.6,28.85,33.34,25.81,25.6,18.15,12.95,10.9,11.51,11.21,12.59,12.42,10.68,10.1,12.88,#N/A,#N/A,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,8.622,15.004,12.31,11.6,14.2,20.11,19.35,20.17,13.04,6.7,8.04,8.14,8.09,11.92,13.54,13.43,12.18,14.82,14.59,13.47,9.23,#N/A,,,,,,
21,ASX AU Equity,ASX LTD,AUD,11.45,14.252,13.4,12.52,15.54,23.13,32.58,48.7,31.4,36.99,29.16,30.45,29.82,33.07,35.64,39.9,45.76,53.61,64.39,82.37,85.38,#N/A,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,1.6099999999999999,3,3.37,4.05,5.64,7.61,7.36,9.94,16.12,14.64,14.94,15.79,12.2,12.57,14.62,11.97,5.75,6.86,10.03,7.31,5.84,#N/A,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,0.83,3.05,4.2,3.68,5.44,8.86,9.61,11.21,8.71,11.54,14.05,18.18,22.61,35.81,45.5,61.47,71.76,73.6,53.98,72.24,66.52,#N/A,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,6.878,7.91,5.15,6.55,9.12,12.57,14.2,15.06,14.55,12.32,10.43,12.87,12.7,14.81,17.33,21.37,21.55,24.22,24.53,27.1,30.43,#N/A,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,0.29,0.1,0.13,0.26,0.83,1.465,3.8,5.9399999999999995,4.38,5.95,10.67,11.9,13.71,27.53,42.71,39.21,59.49,66.4,90.87,96.04,107.88,#N/A,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.79,1.54,2.68,3.61,3.18,2.04,#N/A,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.17,14.3,13.45,14.7,14.65,14.77,14.48,15.48,15.55,19.29,25.5,22.48,20.01,17.05,#N/A,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,28.758,39,34.05,32.3,22.72,39.2,54.63,61,43.65,57.7,74.32,72,65.84,61.71,61.7,80.15,121.25,155.45,200.17,206.84,188.93,#N/A,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.4,4.35,5.82,5.01,4.99,9.23,13.16,17.39,14.92,10.48,#N/A,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.91,36.88,23.32,13.95,18.1,33.44,48.65,67.91,#N/A,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,1.367,1.22,0.62,1.02,1.81,3.69,3.35,4.85,4.65,6.13,7.04,6.25,7.01,8.11,7.89,6.7,7.17,7.79,7.16,7.25,#N/A,#N/A,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,5.38,8.35,10.39,10,9.09,11.5,17.35,41.25,50.85,23.5,28.95,20.85,17.88,16.11,22.5,24.3,34.94,51.45,43.41,33.14,#N/A,#N/A,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,3.38,3.5,4.6,3.27,3.52,3.37,2.96,5.6,3.04,2.01,2.2,1.8399999999999999,1.075,1.35,1.26,3.16,2.82,5.72,6.16,5.4,3.7800000000000002,#N/A,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,0.73,0.83,2.2,0.525,0.55,1.13,1.32,2.15,9.64,10.93,17.4,22.25,28.84,23.3,51,58.01,#N/A,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.38,3.4,4.16,4.98,5.13,4.82,5.36,4.33,5.4,4.92,#N/A,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,9.6,9.5,12.5,10.77,14.24,16.4,15.2,17.15,9.81,7.16,6.33,3.29,2.93,3.05,3.36,4.55,4.57,4.37,4.46,4.45,3.38,#N/A,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,8.59,6.15,2.2,1.87,3.18,5.86,7.85,11.29,9.21,9.02,10.61,8.87,7.41,10.27,12.48,11.71,9.17,14.14,18.43,16.21,13.25,#N/A,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.01,2.95,2.8,2.92,3.49,2.99,#N/A,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,5.734,4.34,9.52,12,17.3,21,22.47,30.1,20.95,23.5,25.71,23.48,24.87,20.06,18.9,15.04,15.2,19.77,17.03,22.54,#N/A,#N/A,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,#N/A,#N/A,0.145,0.082,0.135,0.125,0.065,0.023,0.054,0.46,0.77,0.585,1.26,2.21,4.9399999999999995,4.75,7.26,11.65,13.36,#N/A,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.29,7.27,7.77,8.93,8.49,12.11,15.12,12.2,12.61,12.28,13.5,12.45,9.67,#N/A,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,4.682,5.981,5.27,6.23,8.13,7.71,7.76,9.48,9.19,11.53,10.86,11.51,13.45,12.03,9.32,9.3,10.12,8.51,8.19,11.06,#N/A,#N/A,,,,,,
