Num,Ticker,Name,Data FX,FY 2000,FY 2001,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,1781.4932,3704.2569,3724.8937,6215.8348,6227.6346,6054.6546,5944.7397,5660.2265,5564.9222,5564.4433,5564.3887,5322.5714,5322.723,5322.5273,5321.1527,5321.1858,5322.443,5323.6217,5323.5244,5056.7352,5057.9204,#N/A,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,1374.4301,1375.61,1564.3,1378.29,1379.92,1354.17,1309.42,1283,1106.91,1523.09,1962.065,1874.102,1847.017,1848.455,1849.907,1808.677,1799.012,1754.458,1649.425,1621.134,#N/A,#N/A,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,1260.202,1244.016,1252.921,1253.5811,1264.0061,1266.7644,1271.8197,1292.9716,1318.1429,1511.6085,1542.0903,1552.2737,1585.2804,1605.8528,1615.8032,1622.9384,1711.0617,1726.0134,1756.6176,1766.736,1768.1441,#N/A,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,149.076,149.668,158.47,159.939,196.4484,188.2724,181.889,183.042,550.4006,599.2394,549.6929,524.8405,506.9298,487.3522,474.7883,464.8328,456.6087,453.2518,452.4008,453.1386,454.0487,#N/A,,,,,,,
5,WBC AU Equity,WESTPAC BANKING CORP,AUD,1776.162,1751.197,1753.3128,1787.1139,1777.9148,1864.0834,1835.201,1859.9513,1890.4286,2934.908,2982.9806,3017.0342,3075.2277,3095.7701,3097.5992,3183.9078,3336.8426,3386.1627,3428.8233,3483.423,#N/A,#N/A,,,,,,,
6,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,1514.361,1550.303,1533.92,1503.9561,1550.784,1545.551,1582.905,1593.603,1674.519,2048.169,2086.109,2152.956,2243.721,2287.639,2310.171,2562.809,2647.472,2675.826,2726.319,2875.514,#N/A,#N/A,,,,,,,
7,ANZ AU Equity,AUST AND NZ BANKING GROUP,AUD,1506.2111,1488.267,1503.886,1521.687,1818.4018,1826.4495,1836.5721,1864.6788,2040.6565,2496.8196,2548.1898,2615.2384,2701.6835,2727.8338,2742.8729,2891.3357,2927.4767,2913.1153,2852.7181,2821.6849,#N/A,#N/A,,,,,,,
8,MQG AU Equity,MACQUARIE GROUP LTD,AUD,171.225,175.869,198.5,204.498,215.9163,223.6836,232.4404,253.9412,274.5708,283.438,344.2443,322.1684,346.8249,310.5248,295.0636,333.4578,320.2485,321.0512,322.5247,323.9493,339.9903,#N/A,,,,,,,
9,WES AU Equity,WESFARMERS LTD,AUD,263.687,281.746,372.291,376.536,376.3544,378.042,378.042,388.069,647.183,1005.127,1005.168,1005.676,1006.509,1006.672,1143.275,1123.753,1126.131,1133.84,1133.84,1133.84,1133.84,#N/A,,,,,,,
10,WOW AU Equity,WOOLWORTHS GROUP LTD,AUD,1059.995,1035.4611,1049.212,1020.933,1021.9306,1037.868,1161.8907,1191.8962,1203.9173,1223.6337,1231.1398,1216.4993,1231.9302,1250.1879,1259.8189,1266.6152,1278.7587,1294.4165,1313.3239,1258.6901,1263.0919,#N/A,,,,,,,
11,TLS AU Equity,TELSTRA CORP LTD,AUD,12866.5996,12866.5996,12866.5996,12866.6002,12628.359,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12443.0744,12225.6558,12225.6558,11893.2979,11893.2979,11893.2979,11893.2979,#N/A,,,,,,,
12,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,#N/A,44.406,51.0659,66.685,124.2981,217.8229,237.6895,265.6678,2804.3638,3089.5967,3107.197,3113.4982,3113.7982,3113.7982,3113.7982,3113.569,3113.4355,3111.3392,3112.5703,3077.4542,3077.7144,#N/A,,,,,,,
13,WPL AU Equity,WOODSIDE PETROLEUM LTD,AUD,666.667,666.667,666.6667,666.667,666.6667,656.13,657.6578,681.9918,698.553,748.599,783.4016,805.6716,823.9107,823.9107,823.9107,823.9107,842.4449,842.4449,936.1515,942.2869,#N/A,#N/A,,,,,,,
14,NCM AU Equity,NEWCREST MINING LTD,AUD,242.648,246.033,286.612,326.911,328.5592,330.5751,333.0758,335.2766,453.3656,483.3446,483.4988,765,765,765.607,766.1658,764.9957,764.6145,764.4462,765.4748,764.752,811.5673,#N/A,,,,,,,
15,ALL AU Equity,ARISTOCRAT LEISURE LTD,AUD,422.615,451.237,456.271,470.227,476.8984,470.5356,467.7132,464.2955,455.3297,533.3793,533.9839,543.181,551.418,551.418,630.0223,637.1196,637.1196,638.5441,638.5441,638.5441,#N/A,#N/A,,,,,,,
16,BXB AU Equity,BRAMBLES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1415.4851,1426.691,1401.869,1422.2297,1479.3675,1536.0599,1557.3674,1562.9459,1566.9655,1585.9917,1589.4218,1591.9013,1588.7624,1505.0326,#N/A,,,,,,,
17,IAG AU Equity,INSURANCE AUSTRALIA GROUP,AUD,#N/A,1399,1301,1683,1591,1585,1586,1780.1368,1863.3596,2058.3563,2065.9665,2066.561,2065.7805,2065.4412,2341,2431,2431,2431,2367,2367,2311,#N/A,,,,,,,
18,STO AU Equity,SANTOS LTD,AUD,609.605,578.797,582.782,584.475,585.5207,594.3018,598.5241,585.9644,584.8129,831.8346,874.9915,944.4697,961.1842,972.0883,983.7502,1766.2106,2032.3897,2083.0709,2082.9793,2083.0966,#N/A,#N/A,,,,,,,
19,QBE AU Equity,QBE INSURANCE GROUP LTD,AUD,428.641,585.319,615.488,671.647,734.609,785.294,812.458,880.788,981.795,1020.234,1048,1112,1194,1247,1363,1370,1370,1358,1327,1305,#N/A,#N/A,,,,,,,
20,SUN AU Equity,SUNCORP GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,924.8941,955.528,1257.377,1281.3905,1286.601,1286.601,1286.601,1286.601,1286.601,1286.601,1292.6999,1298.504,1298.504,1279.6503,#N/A,,,,,,,
21,ASX AU Equity,ASX LTD,AUD,101.1951,101.4502,101.5188,102.0199,102.0199,102.7022,102.7418,170.845,171.1485,171.1885,173.5732,175.1367,175.1367,193.5952,193.5952,193.5952,193.4139,193.4119,193.5341,193.5853,193.5879,#N/A,,,,,,,
22,ORG AU Equity,ORIGIN ENERGY LTD,AUD,568.05,573.048,647.829,657.71,668.6884,789.7167,794.3373,872.2885,880.7737,874.3821,880.6689,1064.5073,1089.5646,1097.9619,1103.6458,1109.6289,1753.3358,1755.3335,1759.1565,1756.4015,1757.9981,#N/A,,,,,,,
23,RHC AU Equity,RAMSAY HEALTH CARE LTD,AUD,108.784,125.263,127.556,128.688,128.9285,170.3785,172.3556,172.3351,172.9827,174.327,201.3315,200.7616,200.5589,199.8351,200.674,200.5464,200.6105,200.9718,202.0813,202.0813,228.9,#N/A,,,,,,,
24,SHL AU Equity,SONIC HEALTHCARE LTD,AUD,167.801,227.515,257.53,259.764,267.7495,274.7406,295.2031,300.1502,333.5023,383.9709,388.4299,388.4299,390.9699,397.1582,400.8116,401.9872,415.0848,419.196,424.6769,473.9564,475.1824,#N/A,,,,,,,
25,REA AU Equity,REA GROUP LTD,AUD,47.498,90.498,91.501,92.981,106.4249,107.3594,127.2551,127.2551,127.2551,127.2551,128.4394,130.4017,131.7147,131.7147,131.7147,131.7147,131.7147,131.7147,131.7147,131.7147,131.7147,#N/A,,,,,,,
26,S32 AU Equity,SOUTH32 LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,450,5323.7629,5321.5229,5204.758,5089.0224,4965.0204,4823.7727,#N/A,,,,,,,
27,AGL AU Equity,AGL ENERGY LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,433.5555,443.3541,447.536,450.0765,461.3117,545.8611,554.21,559.7197,674.7124,674.7124,655.825,655.825,655.825,623.1381,#N/A,,,,,,,
28,COH AU Equity,COCHLEAR LTD,AUD,51.149,52.017,52.5,53.071,54.1617,54.1693,54.637,54.7696,55.5247,56.0517,56.5434,56.745,56.8659,56.7896,56.813,56.957300000000004,57.1993,57.4266,57.5478,57.7158,65.6874,#N/A,,,,,,,
29,TWE AU Equity,TREASURY WINE ESTATES LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,647.2,645.7,646.0271,648.4276,650.3614,736.835,733.235,718.1635,715.6005,720.8004,#N/A,,,,,,,
30,XRO AU Equity,XERO LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,55.46,87.211,90.249,104.099,115.378,126.601,135.273,136.023,137.127,137.84,140.363,141.512,#N/A,,,,,,,
31,OSH AU Equity,OIL SEARCH LTD,AUD,576.454,663.39,1088.429,1113.7904,1114.3853,1118.8953,1119.8412,1119.8412,1119.8412,1299.5622,1312.8883,1325.1552,1334.7567,1343.3611,1522.6926,1522.6926,1522.6926,1523.6312,1523.6312,1524.747,#N/A,#N/A,,,,,,,
32,CIM AU Equity,CIMIC GROUP LTD,AUD,262.492,265.18,268.842,271.48,272.6881,272.6881,277.9746,278.0881,278.0881,297.9718,300.6873,336.5156,337.1642,337.2352,338.5036,338.5036,324.2541,324.2541,324.2541,323.7268,#N/A,#N/A,,,,,,,
33,QAN AU Equity,QANTAS AIRWAYS LTD,AUD,1211.059,1308.613,1563.859,1774.113,1845.115,1897.6487,1955.0354,1975.6549,1880.3355,2250.4459,2249.4836,2241.2617,2248.4941,2218.6899,2187.7695,2192.8173,1918.801,1753.5431,1660.1746,1545.8964,1854.1919,#N/A,,,,,,,
34,MFG AU Equity,MAGELLAN FINANCIAL GROUP LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,107.355,145.437,145.945,147.198,151.893,152.558,152.783,158.842,160.276,161.189,172.076,176.211,177.087,182.28,#N/A,,,,,,,
35,AZJ AU Equity,AURIZON HOLDINGS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2440,2440,2137.285,2137.285,2122.01,2051.745,2051.745,1990.128,1990.128,1914.643,#N/A,,,,,,,
36,TAH AU Equity,TABCORP HOLDINGS LTD,AUD,371.594,372.284,373.15,365.557,423.4835,523.919,524.927,524.927,524.927,603.7074,612.6258,688.0197,730.114,744.8857,762.954,829.3998,831.5,835.3,2013,2019.3,2032,#N/A,,,,,,,
37,CPU AU Equity,COMPUTERSHARE LTD,AUD,533.853,547.612,554.279,540.341,552.42,594.8888,599.2166,590.8591,555.6541,555.6541,555.6541,555.6641,555.6641,556.2031,556.2031,556.2031,546.826,546.326,542.9559,542.9559,540.8796,#N/A,,,,,,,
38,MPL AU Equity,MEDIBANK PRIVATE LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2754.0032,2754.0032,2754.0032,2754.0032,2754.0032,2754.0032,#N/A,,,,,,,
39,CTX AU Equity,CALTEX AUSTRALIA LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,,,
40,ORI AU Equity,ORICA LTD,AUD,275.761,277.261,279.088,277.613,270.0579,273.1043,309.2178,307.9127,359.1963,359.9556,362.1004,363.9666,365.6428,368.2036,372.7433,370.1135,374.9295,377.039,379.2148,380.5766,#N/A,#N/A,,,,,,,
41,NST AU Equity,NORTHERN STAR RESOURCES LTD,AUD,#N/A,#N/A,#N/A,13,51.375,51.375,51.375,77.4737,90.7581,99.2606,205.9028,304.8309,402.3588,424.2798,579.4048,592.9284,600.3965,600.5423,612.8239,639.5926,740.151,#N/A,,,,,,,
42,CWN AU Equity,CROWN RESORTS LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,688.4869,689.6769,758.3942,758.3942,758.3942,728.3942,728.3942,728.3942,728.3942,728.3942,688.8478,687.4212,677.1583,677.1583,#N/A,,,,,,,
43,CCL AU Equity,COCA-COLA AMATIL LTD,AUD,1044.884,684.288,692.442,699.473,707.6898,747.7047,750.8875,754.9625,735.5964,748.2196,756.0031,759.5676,762.1334,763.5902,763.5902,763.5902,763.5902,723.9997,723.9997,723.9997,#N/A,#N/A,,,,,,,
44,WOR AU Equity,WORLEY LTD,AUD,#N/A,#N/A,149.357,149.357,149.3567,204.9506,204.9506,240.5723,241.7795,242.743,245.426,245.6993,245.7353,246.4806,246.5318,247.2633,247.8673,248.1891,273.936,520.0418,521.4772,#N/A,,,,,,,
45,SEK AU Equity,SEEK LTD,AUD,#N/A,#N/A,#N/A,#N/A,#N/A,280.9306,282.711,284.1951,288.0959,335.7555,336.5845,336.5845,337.1013,337.833,340.4598,343.7987,344.1251,348.1729,350.2653,350.7314,351.7835,#N/A,,,,,,,
