Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,53003.194900000002,43048.598700000002,44881.243699999999,54919.280700000003,65359.0193,72231.502200000003,79431.497499999998,97547.987599999993,104939.1756,96097.105500000005,126304.8363,152590.72469999999,160667.4448,161624.28649999999,159732.77830000001,152391.24770000001,151464.70110000001,143861.07550000001,153458.63570000001,145294.1176,137682.2917,151890.8382,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,22527.2565,32015.894899999999,17540.069100000001,40625.681600000004,43757.452700000002,115308.5434,127169.00810000001,108304.74490000001,110226.76179999999,116572.4037,114068.1884,124369.8891,132060.0122,125602.1948,123684.3564,122537.12239999999,129133.8918,125002.8474,126579.1526,141398.92809999999,141874.17509999999,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,249648,265110,305995,337404,369103,440157,487572,620372,646330,667899,718859,753857,791451,873446,933001,976318,975165,976502,1014060,1091975,1215260,1252845,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,2312.1221,2219.5381000000002,3875.3829999999998,3892.5309999999999,4186.085,4199.6940000000004,4694.9639999999999,7366.8149999999996,6745.0619999999999,4732.0232999999998,5685.6863999999996,6549.8301000000001,6661.3963999999996,8304.3590999999997,10155.364600000001,11881.6098,14571.950199999999,17564.398799999999,22444.992699999999,24218.887599999998,41009.838000000003,54331.983800000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,377387,397471,411309,422598,484785,574220,692587,654120,685952,753757,763090,809870,883301,955052,776710,788325,806510,847124,866565,925968,1055126,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,183105,195591,259345,300885,334640,392773,470293,476987,531703,604213,642127,702995,772092,889900,914869,897326,943182,981137,1042286,978857,1085729,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,191037,221339,245079,266263,299578,377653,439676,589587,618277,670228,674965,696603,770842,812156,839202,851875,879592,906626,911946,935877,1014198,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,5.0711000000000004,4.9917999999999996,17.03,194.7013,297.78809999999999,4441.7668999999996,3267.3874000000001,5197.1058999999996,6197.0769,8055.0887000000002,14717.147000000001,22877.973900000001,24081.069599999999,27711.4686,25966.160899999999,24895.806199999999,24139.843099999998,28090.144100000001,33959.361400000002,37859.143700000001,41051.794000000002,42312.190699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,8955.4387999999999,6357.7489999999998,6956.3455999999996,9500.2412999999997,11377.2675,11114.406300000001,21184.901399999999,19773.8917,19740.0059,22653.339800000002,23894.828099999999,26627.0864,29494.182499999999,32700.960200000001,34298.184800000003,32512.800800000001,38460.883099999999,41789.578600000001,32002.859400000001,36380.376499999998,86993.694099999993,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,30234,32462,43771,67980,106211,136389,167250,149144,145940,157568,153626,144748,153904,187976,196755,182877,191325,197757,255802,245653,399176,387872,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WES AU Equity,WESFARMERS LTD,AUD,6612.7212,6418.1021000000001,7271.4,7152.7690000000002,7515.1469999999999,12076.249,37178,39295,39236,40814,42312,43155,39727,40402,40783,40115,36933,18333,25425,26214,27286,26546,,,,,,,,,,,,,,,,,,,,,,,,,,,
