Num,Ticker,Name,Data FX,FY 2002,FY 2003,FY 2004,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BHP AU Equity,BHP GROUP LTD,AUD,23345.7579,19023.554,22203.829,23514.897,32944.901,35193.5066,40801.5467,50416.0991,58260.3047,53926.2372,65544.6996,82546.8699,90600.5942,91521.7955,80664.6972,81695.7541,82053.016,73918.1287,75725.6894,74169.6679,70552.662,72769.5307,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RIO AU Equity,RIO TINTO LTD,AUD,9188.5612,14677.7681,8394.6726,21454.4711,24590.8918,29990.8749,31873.1375,51152.818,63055.4198,57735.7387,55610.1319,59932.7882,66863.4415,60532.2359,63364.2788,65431.3876,70741.1614,64410.5923,67459.059,77765.5627,76659.3342,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL,AUD,21056,22152,24885,22643,21343,24444,26137,31442,35570,37287,41572,45537,49348,52993,60564,63660,67860,69649,72013,78688,72838,72005,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSL AU Equity,CSL LTD,AUD,1273.131,1282.698,2074.042,2108.525,1989.804,2268.849,2806.125,5462.895,4978.3796,3402.7638,3349.5848,3308.5188,3355.2632,3563.7001,3447.2942,4120.6043,5517.8523,7490.087,9473.73,11179.5385,21089.4097,26729.6446,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NAB AU Equity,NATIONAL AUSTRALIA BANK LTD,AUD,23251,27211,29766,31547,27972,29885,32846,37835,38954,42188,43803,46376,47908,55513,51315,51317,52712,55604,61293,62779,59032,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ANZ AU Equity,ANZ GROUP HOLDINGS LTD,AUD,11465,13787,17925,19538,19906,22048,26552,32429,34155,37954,41220,45603,49284,57353,57927,59075,59405,60794,61297,63676,66401,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WBC AU Equity,WESTPAC BANKING CORP,AUD,10468,13996,16317,16893,16098,17831,19471,36571,40118,43808,46219,47481,49337,53915,58181,61342,64573,65507,68074,72092,70509,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,FMG AU Equity,FORTESCUE METALS GROUP LTD,AUD,4.6595,4.7114,14.0654,78.0165,184.7045,438.4061,-66.0027,1053.4885,1744.0239,2272.6424,3675.6229,5798.7063,8046.4771,9778.1526,11287.7669,12677.7807,13162.0233,15120.5249,19222.061,23656.1291,25094.0394,26987.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WDS AU Equity,WOODSIDE ENERGY GROUP LTD,AUD,4147.2422,3235.2181,3539.4929,4771.8525,5330.2042,5810.4255,9836.81,10323.0118,11422.1484,12939.0541,15243.186,17876.1062,20402.9394,20610.4252,21701.538,20367.3835,26014.4825,24785.0228,16733.8186,19553.3874,54446.3998,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MQG AU Equity,MACQUARIE GROUP LTD,AUD,2026,2194,2442,4034,5337,7519,10061,9560,11769,11932,11732,11955,11914,14396,15664,17270,18180,18364,21784,22351,28806,34106,,,,,,,,,,,,,,,,,,,,,,,,,,,
